date	open	high	close	low	volume	ma5
2016-01-21	10.6	10.81	10.21	10.2	10695136.0	10.526
2016-01-20	10.93	11.38	10.77	10.65	18182320.0	10.656
2016-01-19	10.42	11.0	10.98	10.35	11812820.0	10.552
2016-01-18	10.17	10.65	10.42	10.0	9194152.0	10.432
2016-01-15	10.85	10.85	10.25	10.24	11804516.0	10.346
2016-01-14	10.0	11.2	10.86	9.81	15062356.0	10.516
2016-01-13	10.41	10.86	10.25	10.08	14359732.0	10.574
2016-01-12	10.08	10.53	10.38	9.76	18105056.0	11.002
2016-01-11	10.98	10.98	9.99	9.99	19277712.0	11.354
2016-01-08	11.45	11.65	11.1	10.2	18801276.0	11.968
2016-01-07	12.15	12.15	11.15	11.15	4734244.0	10.574
2016-01-06	12.25	12.65	12.39	12.19	15560977.0	11.002
2016-01-05	12.5	12.88	12.14	11.75	26112642.0	11.354
2016-01-04	14.25	14.33	13.06	12.96	18211958.0	11.968
2015-12-31	14.52	14.76	14.35	14.35	15225960.0	14.394
2015-12-30	14.44	14.7	14.58	14.23	13764008.0	14.454
2015-12-29	14.03	14.5	14.44	13.8	14205707.0	14.466
2015-12-28	14.53	14.7	14.02	14.02	17679196.0	14.58
2015-12-25	14.7	14.82	14.58	14.46	10507330.0	14.784
2015-12-24	14.52	14.79	14.65	14.32	13144087.0	14.924
2015-12-23	15.1	15.15	14.64	14.56	19952980.0	14.982
2015-12-22	15.07	15.21	15.01	14.63	24723100.0	14.866
2015-12-21	15.1	15.59	15.04	14.94	27140310.0	14.666
2015-12-18	15.0	15.96	15.28	14.93	51361132.0	14.416
2015-12-17	14.06	15.23	14.94	13.99	47129264.0	13.976
2015-12-16	14.02	14.33	14.06	13.8	28118288.0	13.644
2015-12-15	13.8	14.15	14.01	13.6	32745764.0	13.592
2015-12-14	13.18	13.91	13.79	13.08	29828220.0	13.472
2015-12-11	13.3	13.35	13.08	13.03	12858600.0	13.416
2015-12-10	13.82	13.83	13.28	13.23	18805806.0	13.452
2015-12-09	13.03	13.92	13.8	13.0	33564504.0	13.456
2015-12-08	13.83	14.2	13.41	13.38	28235298.0	13.35
2015-12-07	13.26	13.53	13.51	13.04	15358764.0	13.262
2015-12-04	13.3	13.44	13.26	13.1	12039477.0	13.256
2015-12-03	13.27	13.4	13.3	13.12	11966490.0	13.41
2015-12-02	12.88	13.31	13.27	12.69	17261088.0	13.678
2015-12-01	13.4	13.4	12.97	12.72	24508720.0	13.686
2015-11-30	13.8	13.97	13.48	12.64	30002130.0	13.776
2015-11-27	14.64	14.78	14.03	13.65	60498924.0	13.798
2015-11-26	14.64	14.64	14.64	14.29	41852364.0	13.688
2015-11-18	13.5	13.6	13.31	13.27	16462819.0	13.584
2015-11-17	13.55	13.78	13.42	13.2	26795772.0	13.712
2015-11-16	13.3	13.6	13.59	13.01	22804258.0	13.828
2015-11-13	13.89	13.91	13.48	13.26	23373948.0	13.86
2015-11-12	14.16	14.56	14.12	13.95	35379748.0	13.904
2015-11-11	14.0	14.11	13.95	13.7	25242220.0	13.792
2015-11-10	13.65	14.04	14.0	13.54	30600478.0	13.744
2015-11-09	13.61	13.85	13.75	13.01	34235864.0	13.544
2015-11-06	13.5	13.79	13.7	13.42	18504972.0	13.402
2015-11-05	13.77	13.97	13.56	13.3	26470384.0	13.38
2015-11-04	13.15	13.85	13.71	13.1	20668620.0	13.384
2015-11-03	13.15	13.35	13.0	12.85	13959273.0	13.358
2015-11-02	13.4	13.68	13.04	12.95	17239980.0	13.598
2015-10-30	13.59	13.7	13.59	13.1	14604145.0	13.828
2015-10-29	13.61	13.81	13.58	13.3	18576684.0	13.978
2015-10-28	13.87	14.24	13.58	13.48	25048944.0	13.87
2015-10-27	13.81	14.39	14.2	13.32	30972124.0	13.524
2015-10-26	14.8	14.8	14.19	13.78	51866536.0	13.258
2015-10-23	13.88	14.34	14.34	13.6	59426192.0	12.97
2015-10-22	11.85	13.04	13.04	11.85	39060616.0	12.73
2015-10-21	12.95	13.45	11.85	11.8	28871238.0	12.64
2015-10-20	12.6	12.91	12.87	12.45	14860507.0	12.712
2015-10-19	13.15	13.28	12.75	12.4	17783904.0	12.654
2015-10-16	12.9	13.45	13.14	12.8	21013060.0	12.558
2015-10-15	12.18	12.6	12.59	12.05	13124601.0	12.16
2015-10-14	12.52	12.52	12.21	12.2	14416956.0	11.88
2015-10-13	12.47	12.87	12.58	12.38	28120796.0	11.516
2015-10-12	11.2	12.27	12.27	11.2	14452783.0	11.066
2015-10-09	11.17	11.24	11.15	10.95	12473493.0	10.748
2015-10-08	11.0	11.29	11.19	10.75	19698922.0	10.55
2015-09-30	10.35	10.48	10.39	10.3	5179149.0	10.436
2015-09-29	10.69	10.69	10.33	10.28	9571374.0	10.44
2015-09-28	10.2	10.71	10.68	10.16	9675238.0	10.544
2015-09-25	10.57	10.63	10.16	10.01	9409099.0	10.554
2015-09-24	10.38	10.69	10.62	10.38	13790962.0	10.556
