	open	ma5	close	volume	ochl_1	ochl_2	ochl_3	ochl_4	ochl_5
899	1365.252	1364.9528	1395.124	4243920100.0	1393.963	1420.328	1411.013	1393.009	1418.675
900	1361.792	1352.2386	1362.885	2579165700.0	1395.124	1393.963	1420.328	1411.013	1393.009
901	1365.043	1346.368	1363.896	2645473400.0	1362.885	1395.124	1393.963	1420.328	1411.013
902	1341.609	1341.2334	1363.413	2959592000.0	1363.896	1362.885	1395.124	1393.963	1420.328
903	1329.106	1335.5294	1339.446	2565164400.0	1363.413	1363.896	1362.885	1395.124	1393.963
904	1331.926	1331.2422	1331.553	2595315700.0	1339.446	1363.413	1363.896	1362.885	1395.124
905	1336.842	1322.0086	1333.532	3244547900.0	1331.553	1339.446	1363.413	1363.896	1362.885
906	1333.619	1312.0782	1338.223	2779705800.0	1333.532	1331.553	1339.446	1363.413	1363.896
907	1306.263	1304.0888	1334.893	3072625800.0	1338.223	1333.532	1331.553	1339.446	1363.413
908	1290.003	1296.6442	1318.01	2840803200.0	1334.893	1338.223	1333.532	1331.553	1339.446
909	1283.721	1291.8792	1285.385	2324130200.0	1318.01	1334.893	1338.223	1333.532	1331.553
910	1291.69	1299.998	1283.88	2880166100.0	1285.385	1318.01	1334.893	1338.223	1333.532
911	1296.408	1307.2686	1298.276	2782303100.0	1283.88	1285.385	1318.01	1334.893	1338.223
912	1283.827	1327.4418	1297.67	2503333100.0	1298.276	1283.88	1285.385	1318.01	1334.893
913	1320.813	1348.5404	1294.185	3739262300.0	1297.67	1298.276	1283.88	1285.385	1318.01
914	1309.07	1367.7266	1325.979	4567750900.0	1294.185	1297.67	1298.276	1283.88	1285.385
915	1398.184	1383.1066	1320.233	5204764700.0	1325.979	1294.185	1297.67	1298.276	1283.88
916	1400.267	1392.1502	1399.142	4683527800.0	1320.233	1325.979	1294.185	1297.67	1298.276
917	1391.461	1388.073	1403.163	5510181900.0	1399.142	1320.233	1325.979	1294.185	1297.67
918	1406.617	1380.6988	1390.116	6410916200.0	1403.163	1399.142	1320.233	1325.979	1294.185
919	1364.178	1368.8796	1402.879	5349345300.0	1390.116	1403.163	1399.142	1320.233	1325.979
920	1377.449	1349.8432	1365.451	4733588300.0	1402.879	1390.116	1403.163	1399.142	1320.233
921	1375.298	1338.4014	1378.756	4476102700.0	1365.451	1402.879	1390.116	1403.163	1399.142
922	1339.896	1326.181	1366.292	4448001100.0	1378.756	1365.451	1402.879	1390.116	1403.163
923	1312.236	1327.6574	1331.02	3638566500.0	1366.292	1378.756	1365.451	1402.879	1390.116
924	1304.695	1334.6728	1307.697	3404643600.0	1331.02	1366.292	1378.756	1365.451	1402.879
925	1325.683	1339.3736	1308.242	5117663200.0	1307.697	1331.02	1366.292	1378.756	1365.451
926	1365.1	1344.8298	1317.654	5687238800.0	1308.242	1307.697	1331.02	1366.292	1378.756
927	1366.316	1347.5244	1373.674	6626217200.0	1317.654	1308.242	1307.697	1331.02	1366.292
928	1334.069	1343.2206	1366.097	6712386900.0	1373.674	1317.654	1308.242	1307.697	1331.02
