date	open	high	low	close	volume
 1998/04/10	1294.61	1311.52	1293.58	1311.51	14670126
 1998/04/13	1319.94	1326.29	1311.83	1318.38	12153267
 1998/04/14	1318.27	1320.9	1304.37	1313.72	8585073
 1998/04/15	1314.16	1324.7	1314.06	1324.7	9584528
 1998/04/16	1324.03	1326.42	1312.56	1316.24	9470129
 1998/04/17	1311.54	1311.73	1291.08	1298.1	8814690
 1998/04/20	1292.16	1302.98	1286.58	1296	7408490
 1998/04/21	1296.77	1307.85	1295.05	1304.7	6579648
 1998/04/22	1307.83	1333.06	1307.83	1332.18	7936563
 1998/04/23	1337.48	1340.25	1321.04	1324.55	10676462
 1998/04/24	1324.45	1331.85	1313.6	1315.16	9745144
 1998/04/27	1314.35	1318.79	1303.48	1310.37	11094552
 1998/04/28	1315.34	1333.09	1315.32	1332.99	9613649
 1998/04/29	1337.89	1341.58	1328.56	1332.49	8297184
 1998/04/30	1336.01	1343.46	1335.54	1343.44	8903934
 1998/05/04	1353.05	1355.51	1345.35	1352.92	11067587
 1998/05/05	1355.04	1356.05	1346.59	1352.52	8053406
 1998/05/06	1352.72	1355.65	1341.8	1348.41	7666869
 1998/05/07	1348.88	1352.55	1326.65	1327.87	7990520
 1998/05/08	1324.74	1357.6	1324.72	1357.59	16894024
 1998/05/11	1367.24	1368.02	1351.59	1354.6	13462805
 1998/05/12	1358.95	1360.06	1342.73	1349.64	8706152
 1998/05/13	1351.18	1369.3	1351	1369.26	10226006
 1998/05/14	1373.17	1376.29	1360.89	1367.12	12414097
 1998/05/15	1373.42	1379.12	1361.84	1368.08	10248334
 1998/05/18	1373.67	1376.38	1360.46	1368.18	8319169
 1998/05/19	1370.67	1372.87	1355.53	1362.29	6298240
 1998/05/20	1362.69	1365.1	1352.16	1357.43	6764053
 1998/05/21	1356.95	1367.71	1350.26	1366.65	6776882
 1998/05/22	1371.36	1379.89	1370.72	1375.81	8017857
 1998/05/25	1380.12	1389.65	1376.2	1389.36	10732481
