date	open	ma5	high	close	low	volume
2015-12-31	3760.904	3764.778	3772.617	3731.005	3727.325	101873552.0
2015-12-30	3762.914	3784.457	3765.657	3765.175	3726.278	105629952.0
2015-12-29	3723.05	3804.698	3762.052	3761.875	3710.48	101885552.0
2015-12-28	3847.532	3827.67	3853.389	3727.632	3727.632	153988448.0
2015-12-25	3832.085	3855.336	3848.025	3838.201	3813.204	119624016.0
2015-12-24	3858.135	3841.279	3867.679	3829.402	3787.084	147181392.0
2015-12-23	3877.872	3826.576	3926.686	3866.381	3862.965	207017152.0
2015-12-22	3872.098	3790.388	3880.468	3876.733	3841.593	180303664.0
2015-12-21	3762.097	3753.919	3877.82	3865.965	3759.989	217435280.0
2015-12-18	3754.96	3722.99	3810.218	3767.913	3750.925	173465984.0
2015-12-17	3712.783	3691.02	3768.844	3755.888	3709.851	177924080.0
2015-12-16	3703.95	3664.459	3713.09	3685.44	3677.45	111342720.0
2015-12-15	3707.73	3654.558	3717.357	3694.389	3679.23	126481712.0
2015-12-14	3573.884	3640.285	3712.503	3711.322	3570.998	151769120.0
2015-12-11	3605.372	3635.542	3630.744	3608.059	3578.146	110322480.0
2015-12-10	3634.366	3649.448	3678.318	3623.084	3615.991	120215624.0
2015-12-09	3613.42	3674.691	3655.159	3635.938	3611.49	113325424.0
2015-12-08	3668.839	3691.895	3668.839	3623.02	3619.445	125781080.0
2015-12-07	3681.582	3685.63	3699.337	3687.607	3658.578	113883152.0
2015-12-04	3719.734	3661.391	3726.124	3677.592	3667.291	151199520.0
2015-12-03	3709.547	3637.271	3758.446	3749.299	3693.137	197762128.0
2015-12-02	3587.758	3639.297	3725.854	3721.955	3573.403	213538864.0
2015-12-01	3562.319	3651.227	3617.305	3591.696	3536.116	136536560.0
2015-11-30	3554.89	3683.666	3587.97	3566.412	3455.068	173201168.0
2015-11-27	3739.096	3721.05	3742.742	3556.992	3534.39	208939360.0
2015-11-26	3795.245	3764.529	3805.844	3759.429	3756.823	173525472.0
2015-11-25	3747.759	3767.637	3781.857	3781.607	3735.716	151944944.0
2015-11-24	3745.761	3754.431	3754.169	3753.889	3702.737	143383280.0
2015-11-23	3774.436	3755.331	3802.851	3753.335	3743.405	175626816.0
2015-11-20	3778.884	3757.489	3793.545	3774.383	3757.026	186951696.0
2015-11-19	3725.622	3751.861	3775.232	3774.969	3714.675	154631984.0
2015-11-18	3760.456	3755.932	3771.847	3715.58	3706.31	185689488.0
2015-11-17	3790.426	3779.545	3852.774	3758.387	3750.157	248533072.0
2015-11-16	3682.735	3794.515	3764.409	3764.126	3680.073	161690896.0
2015-11-13	3756.204	3809.761	3793.713	3746.242	3727.585	203489888.0
2015-11-12	3841.738	3819.187	3843.9	3795.324	3771.274	217537648.0
2015-11-11	3828.448	3801.317	3843.112	3833.646	3781.41	232234304.0
2015-11-10	3806.669	3760.295	3876.49	3833.238	3798.821	286519616.0
2015-11-09	3796.379	3686.746	3891.773	3840.355	3796.379	356804832.0
2015-11-06	3698.342	3613.867	3801.705	3793.374	3694.657	298753088.0
2015-11-05	3630.782	3562.008	3781.409	3705.97	3627.301	398046560.0
2015-11-04	3477.159	3527.476	3628.538	3628.538	3477.159	205423872.0
2015-11-03	3484.722	3506.752	3501.704	3465.493	3452.62	101401872.0
2015-11-02	3489.225	3532.229	3543.45	3475.962	3474.712	130002568.0
2015-10-30	3530.223	3554.889	3574.473	3534.079	3497.568	139141920.0
2015-10-29	3539.978	3562.322	3561.814	3533.307	3507.966	127010448.0
2015-10-28	3575.805	3560.567	3598.172	3524.92	3517.21	170977104.0
2015-10-27	3569.449	3550.234	3601.053	3592.879	3486.102	192056144.0
2015-10-26	3614.702	3547.199	3620.756	3589.261	3561.192	204248864.0
2015-10-23	3536.843	3536.183	3581.836	3571.241	3515.822	198294480.0
2015-10-22	3453.201	3528.748	3530.766	3524.534	3442.307	184305584.0
2015-10-21	3580.838	3521.204	3601.243	3473.254	3417.412	282076064.0
2015-10-20	3527.875	3507.775	3577.798	3577.703	3510.437	179025104.0
2015-10-19	3548.953	3481.243	3572.995	3534.182	3502.505	207606752.0
2015-10-16	3508.518	3463.946	3537.539	3534.065	3487.104	208964704.0
2015-10-15	3403.389	3425.156	3486.815	3486.815	3402.316	171158304.0
2015-10-14	3431.135	3387.089	3458.702	3406.112	3403.231	152173936.0
2015-10-13	3422.477	3346.456	3452.045	3445.043	3413.967	145433792.0
2015-10-12	3351.139	3298.037	3486.631	3447.693	3347.251	221400464.0
2015-10-09	3302.36	3244.27	3352.379	3340.116	3293.965	124352496.0
2015-10-08	3324.981	3224.797	3337.331	3296.482	3294.605	132081768.0
2015-10-07	3195.901	3211.891	3223.908	3202.948	3186.767	78559352.0
2015-09-30	3195.901	3228.301	3223.908	3202.948	3186.767	78559352.0
2015-09-29	3197.221	3240.317	3208.417	3178.854	3159.042	87150632.0
2015-09-28	3226.607	3272.352	3246.554	3242.752	3186.507	74219472.0
2015-09-25	3272.665	3285.451	3290.858	3231.951	3201.914	121419280.0
2015-09-24	3278.896	3289.315	3300.857	3284.999	3255.902	102011240.0
2015-09-23	3290.071	3279.715	3315.935	3263.028	3253.333	123171440.0
2015-09-22	3312.366	3288.959	3371.414	3339.03	3303.184	146221984.0
2015-09-21	3222.603	3251.6	3312.55	3308.247	3211.934	122788672.0
2015-09-18	3254.443	3246.177	3280.877	3251.273	3227.834	106903480.0
2015-09-17	3287.657	3265.36	3354.905	3236.999	3236.999	169401888.0
2015-09-16	3149.158	3289.472	3345.918	3309.248	3131.37	159710000.0
2015-09-15	3208.744	3307.484	3240.079	3152.232	3131.98	143555648.0
